t,phase,profLeft,profRight,trimLeft,trimRight,cmdLeft,cmdRight,velLeft,velRight,x,y,heading
0,idle,0,0,0,0,0,0,0,0,0,0,0
0.001,idle,0,0,0,0,0,0,0,0,0,0,0
0.002,idle,0,0,0,0,0,0,0,0,0,0,0
0.003,idle,0,0,0,0,0,0,0,0,0,0,0
0.004,idle,0,0,0,0,0,0,0,0,0,0,0
0.005,idle,0,0,0,0,0,0,0,0,0,0,0
0.006,idle,0,0,0,0,0,0,0,0,0,0,0
0.007,idle,0,0,0,0,0,0,0,0,0,0,0
0.008,idle,0,0,0,0,0,0,0,0,0,0,0
0.009,idle,0,0,0,0,0,0,0,0,0,0,0
0.01,idle,0,0,0,0,0,0,0,0,0,0,0
0.011,idle,0,0,0,0,0,0,0,0,0,0,0
0.012,idle,0,0,0,0,0,0,0,0,0,0,0
0.013,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.014,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.015,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.016,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.017,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.018,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.019,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.02,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.021,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.022,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.023,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.024,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.025,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.026,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.027,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.028,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.029,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.03,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.031,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.032,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.033,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.034,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.035,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.036,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.037,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.038,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.039,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.04,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.041,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.042,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.043,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.044,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.045,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.046,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.047,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.048,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.049,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.05,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.051,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.052,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
0.053,accel,3.3135,3.3135,0,0,3.3135,3.3135,0,0,0,0,0
